STATION,YEAR,MONTH,PRECIPITATION
118,1937,SEP,186.0
118,1938,APR,0.0
118,1938,AUG,220.0
118,1938,DEC,68.0
118,1938,FEB,98.0
118,1938,JAN,60.0
118,1938,JUL,214.0
118,1938,JUN,148.0
118,1938,MAR,74.0
118,1938,MAY,0.0
118,1938,NOV,3.0
118,1938,OCT,0.0
118,1938,SEP,48.0
118,1939,APR,24.0
118,1939,AUG,246.0
118,1939,DEC,114.0
118,1939,FEB,120.0
118,1939,JAN,70.0
118,1939,JUL,273.0
118,1939,JUN,0.0
118,1939,MAR,22.0
118,1939,MAY,0.0
118,1939,NOV,1.5
118,1939,OCT,9.0
118,1939,SEP,117.0
119,1937,APR,23.0
119,1937,AUG,192.0
119,1937,DEC,167.0
119,1937,FEB,101.0
119,1937,JAN,64.0
119,1937,JUL,304.0
119,1937,JUN,30.0
119,1937,MAR,53.0
119,1937,MAY,0.0
119,1937,NOV,0.0
119,1937,OCT,16.0
119,1937,SEP,222.0
119,1938,APR,0.0
119,1938,AUG,264.0
119,1938,DEC,74.0
119,1938,FEB,104.0
119,1938,JAN,60.0
119,1938,JUL,200.0
119,1938,JUN,190.0
119,1938,MAR,82.0
119,1938,MAY,0.0
119,1938,NOV,4.0
119,1938,OCT,0.0
119,1938,SEP,46.0
119,1939,APR,46.0
119,1939,AUG,228.0
119,1939,DEC,120.5
119,1939,FEB,98.0
119,1939,JAN,68.0
119,1939,JUL,252.0
119,1939,JUN,0.0
119,1939,MAR,24.0
119,1939,MAY,0.0
119,1939,NOV,2.0
119,1939,OCT,8.0
119,1939,SEP,134.0
120,1937,APR,24.0
120,1937,AUG,236.0
120,1937,DEC,166.0
120,1937,FEB,102.0
120,1937,JAN,65.0
120,1937,JUL,319.0
120,1937,JUN,30.0
120,1937,MAR,57.0
120,1937,MAY,0.0
120,1937,NOV,0.0
120,1937,OCT,12.0
120,1937,SEP,192.0
120,1938,APR,0.0
120,1938,AUG,280.0
120,1938,DEC,72.0
120,1938,FEB,94.0
120,1938,JAN,58.0
120,1938,JUL,172.0
120,1938,JUN,150.0
120,1938,MAR,76.0
120,1938,MAY,0.0
120,1938,NOV,5.0
120,1938,OCT,0.0
120,1938,SEP,52.0
120,1939,APR,48.0
120,1939,AUG,258.0
120,1939,DEC,119.0
120,1939,FEB,110.0
120,1939,JAN,72.0
120,1939,JUL,245.5
120,1939,JUN,0.0
120,1939,MAR,38.0
120,1939,MAY,0.0
120,1939,NOV,2.5
120,1939,OCT,6.0
120,1939,SEP,122.0
121,1937,APR,28.0
121,1937,AUG,344.0
121,1937,DEC,154.0
121,1937,FEB,149.0
121,1937,JAN,59.0
121,1937,JUL,407.0
121,1937,JUN,52.0
121,1937,MAR,90.0
121,1937,MAY,0.0
121,1937,NOV,0.0
121,1937,OCT,76.0
121,1937,SEP,264.0
121,1938,APR,0.0
121,1938,AUG,518.0
121,1938,DEC,54.0
121,1938,FEB,114.0
121,1938,JAN,60.0
121,1938,JUL,450.0
121,1938,JUN,356.0
121,1938,MAR,140.0
121,1938,MAY,0.0
121,1938,NOV,8.0
121,1938,OCT,0.0
121,1938,SEP,90.0
121,1939,APR,56.0
121,1939,AUG,431.0
121,1939,DEC,104.0
121,1939,FEB,184.0
121,1939,JAN,58.0
121,1939,JUL,428.5
121,1939,JUN,0.0
121,1939,MAR,40.0
121,1939,MAY,0.0
121,1939,NOV,4.0
121,1939,OCT,38.0
121,1939,SEP,177.0
122,1937,APR,31.5
122,1937,AUG,352.0
122,1937,DEC,124.0
122,1937,FEB,160.0
122,1937,JAN,72.0
122,1937,JUL,367.0
122,1937,JUN,74.0
122,1937,MAR,96.0
122,1937,MAY,0.0
122,1937,NOV,0.0
122,1937,OCT,66.0
122,1937,SEP,238.0
122,1938,APR,3.0
122,1938,AUG,422.0
122,1938,DEC,58.0
122,1938,FEB,124.0
122,1938,JAN,64.0
122,1938,JUL,364.0
122,1938,JUN,376.0
122,1938,MAR,156.0
122,1938,MAY,0.0
122,1938,NOV,4.0
122,1938,OCT,0.0
122,1938,SEP,70.0
122,1939,APR,60.0
122,1939,AUG,387.0
122,1939,DEC,91.0
122,1939,FEB,196.0
122,1939,JAN,80.0
122,1939,JUL,365.5
122,1939,JUN,0.0
122,1939,MAR,36.0
122,1939,MAY,0.0
122,1939,NOV,2.0
122,1939,OCT,33.0
122,1939,SEP,154.0
123,1937,APR,21.0
123,1937,AUG,284.0
123,1937,DEC,141.0
123,1937,FEB,148.0
123,1937,JAN,56.0
123,1937,JUL,365.0
123,1937,JUN,52.0
123,1937,MAR,71.0
123,1937,MAY,0.0
123,1937,NOV,0.0
123,1937,OCT,68.0
123,1937,SEP,216.0
123,1938,APR,0.0
123,1938,AUG,342.0
123,1938,DEC,48.0
123,1938,FEB,112.0
123,1938,JAN,48.0
123,1938,JUL,324.0
123,1938,JUN,346.0
123,1938,MAR,94.0
123,1938,MAY,0.0
123,1938,NOV,10.0
123,1938,OCT,0.0
123,1938,SEP,54.0
123,1939,APR,42.0
123,1939,AUG,313.0
123,1939,DEC,94.5
123,1939,FEB,184.0
123,1939,JAN,64.0
123,1939,JUL,344.5
123,1939,JUN,0.0
123,1939,MAR,48.0
123,1939,MAY,0.0
123,1939,NOV,5.0
123,1939,OCT,34.0
123,1939,SEP,135.0
124,1937,APR,9.0
124,1937,AUG,290.0
124,1937,DEC,158.0
124,1937,FEB,105.0
124,1937,JAN,48.0
124,1937,JUL,439.0
124,1937,JUN,21.0
124,1937,MAR,75.0
124,1937,MAY,0.0
124,1937,NOV,0.0
124,1937,OCT,144.0
124,1937,SEP,222.0
124,1938,APR,0.0
124,1938,AUG,348.0
124,1938,DEC,48.0
124,1938,FEB,118.0
124,1938,JAN,44.0
124,1938,JUL,258.0
124,1938,JUN,342.0
124,1938,MAR,100.0
124,1938,MAY,0.0
124,1938,NOV,19.0
124,1938,OCT,0.0
124,1938,SEP,67.0
124,1939,APR,18.0
124,1939,AUG,319.0
124,1939,DEC,103.0
124,1939,FEB,92.0
124,1939,JAN,52.0
124,1939,JUL,348.5
124,1939,JUN,0.0
124,1939,MAR,50.0
124,1939,MAY,0.0
124,1939,NOV,9.5
124,1939,OCT,72.0
124,1939,SEP,144.5
125,1937,APR,17.0
125,1937,AUG,340.0
125,1937,DEC,82.0
125,1937,FEB,126.0
125,1937,JAN,60.0
125,1937,JUL,297.0
125,1937,JUN,58.0
125,1937,MAR,52.0
125,1937,MAY,0.0
125,1937,NOV,0.0
125,1937,OCT,20.0
125,1937,SEP,122.0
125,1938,APR,0.0
125,1938,AUG,376.0
125,1938,DEC,58.0
125,1938,FEB,118.0
125,1938,JAN,64.0
125,1938,JUL,316.0
125,1938,JUN,170.0
125,1938,MAR,74.0
125,1938,MAY,0.0
125,1938,NOV,16.0
125,1938,OCT,0.0
125,1938,SEP,154.0
125,1939,APR,34.0
125,1939,AUG,358.0
125,1939,DEC,70.0
125,1939,FEB,134.0
125,1939,JAN,56.0
125,1939,JUL,306.5
125,1939,JUN,0.0
125,1939,MAR,30.0
125,1939,MAY,0.0
125,1939,NOV,8.0
125,1939,OCT,10.0
125,1939,SEP,138.0
130,1938,APR,39.285714285714285
130,1938,AUG,264.0
130,1938,DEC,48.0
130,1938,FEB,84.95348837209302
130,1938,JAN,109.76190476190476
130,1938,JUL,344.0
130,1938,JUN,38.23809523809524
130,1938,MAR,82.16279069767442
130,1938,MAY,13.375
130,1938,NOV,31.0
130,1938,OCT,0.0
130,1938,SEP,92.0
130,1939,APR,47.0
130,1939,AUG,409.0
130,1939,DEC,59.0
130,1939,FEB,141.0
130,1939,JAN,65.0
130,1939,JUL,274.0
130,1939,JUN,0.0
130,1939,MAR,29.0
130,1939,MAY,0.0
130,1939,NOV,95.0
130,1939,OCT,61.0
130,1939,SEP,160.0
130,1940,APR,12.0
130,1940,AUG,200.0
130,1940,DEC,221.0
130,1940,FEB,191.0
130,1940,JAN,14.0
130,1940,JUL,219.0
130,1940,JUN,216.0
130,1940,MAR,0.0
130,1940,MAY,13.0
130,1940,NOV,101.0
130,1940,OCT,51.0
130,1940,SEP,443.0
130,1941,APR,122.0
130,1941,AUG,272.0
130,1941,DEC,188.0
130,1941,FEB,144.0
130,1941,JAN,96.0
130,1941,JUL,325.0
130,1941,JUN,0.0
130,1941,MAR,106.0
130,1941,MAY,22.0
130,1941,NOV,9.0
130,1941,OCT,53.0
130,1941,SEP,311.0
130,1942,APR,91.0
130,1942,AUG,148.0
130,1942,DEC,20.0
130,1942,FEB,105.0
130,1942,JAN,85.0
130,1942,JUL,195.0
130,1942,JUN,38.23809523809524
130,1942,MAR,26.0
130,1942,MAY,13.375
130,1942,NOV,0.0
130,1942,OCT,81.0
130,1942,SEP,233.0
130,1943,APR,0.0
130,1943,AUG,344.0
130,1943,DEC,60.0
130,1943,FEB,9.0
130,1943,JAN,102.0
130,1943,JUL,255.0
130,1943,JUN,10.0
130,1943,MAR,83.0
130,1943,MAY,0.0
130,1943,NOV,0.0
130,1943,OCT,85.0
130,1943,SEP,199.0
130,1944,APR,20.0
130,1944,AUG,270.0
130,1944,DEC,136.0
130,1944,FEB,159.0
130,1944,JAN,74.0
130,1944,JUL,255.0
130,1944,JUN,14.0
130,1944,MAR,160.0
130,1944,MAY,0.0
130,1944,NOV,200.0
130,1944,OCT,138.0
130,1944,SEP,158.0
130,1945,APR,0.0
130,1945,AUG,434.0
130,1945,DEC,47.0
130,1945,FEB,15.0
130,1945,JAN,58.0
130,1945,JUL,350.0
130,1945,JUN,0.0
130,1945,MAR,55.0
130,1945,MAY,0.0
130,1945,NOV,70.61363636363636
130,1945,OCT,168.0
130,1945,SEP,82.0
130,1946,APR,11.0
130,1946,AUG,488.0
130,1946,DEC,42.0
130,1946,FEB,4.0
130,1946,JAN,271.0
130,1946,JUL,274.0
130,1946,JUN,0.0
130,1946,MAR,31.0
130,1946,MAY,0.0
130,1946,NOV,149.0
130,1946,OCT,46.0
130,1946,SEP,318.0
130,1947,APR,0.0
130,1947,AUG,198.0
130,1947,DEC,109.0
130,1947,FEB,6.0
130,1947,JAN,17.0
130,1947,JUL,195.0
130,1947,JUN,10.0
130,1947,MAR,30.0
130,1947,MAY,21.0
130,1947,NOV,71.0
130,1947,OCT,67.0
130,1947,SEP,83.0
130,1948,APR,0.0
130,1948,AUG,106.0
130,1948,DEC,115.0
130,1948,FEB,240.0
130,1948,JAN,0.0
130,1948,JUL,375.0
130,1948,JUN,10.0
130,1948,MAR,32.0
130,1948,MAY,0.0
130,1948,NOV,0.0
130,1948,OCT,56.0
130,1948,SEP,159.0
130,1949,APR,20.0
130,1949,AUG,347.0
130,1949,DEC,160.0
130,1949,FEB,74.0
130,1949,JAN,226.0
130,1949,JUL,309.0
130,1949,JUN,60.0
130,1949,MAR,30.0
130,1949,MAY,0.0
130,1949,NOV,2.0
130,1949,OCT,214.0
130,1949,SEP,242.0
130,1950,APR,0.0
130,1950,AUG,108.0
130,1950,DEC,0.0
130,1950,FEB,132.0
130,1950,JAN,45.0
130,1950,JUL,677.0
130,1950,JUN,40.0
130,1950,MAR,17.0
130,1950,MAY,0.0
130,1950,NOV,0.0
130,1950,OCT,0.0
130,1950,SEP,10.0
130,1951,APR,255.0
130,1951,AUG,387.0
130,1951,DEC,151.0
130,1951,FEB,34.0
130,1951,JAN,214.0
130,1951,JUL,212.0
130,1951,JUN,0.0
130,1951,MAR,18.0
130,1951,MAY,0.0
130,1951,NOV,102.0
130,1951,OCT,207.0
130,1951,SEP,57.0
