STATION,YEAR,PRECIPITATION
DESRI,1987,98.08333333333333
DESRI,1988,98.41666666666667
DESRI,1989,62.0
DESRI,1990,120.91666666666667
DESRI,1991,96.21924603174602
DESRI,1992,127.76914031878755
DESRI,1993,125.92049808429118
DESRI,1994,121.75
DESRI,1995,82.12640449438202
DESRI,1996,84.5
DESRI,1997,83.41666666666667
DESRI,1998,118.83333333333333
DESRI,1999,107.16666666666667
DESRI,2000,106.91666666666667
DESRI,2001,89.16666666666667
DESRI,2002,86.25
DESRI,2003,86.39803921568627
DESRI,2004,82.58333333333333
DESRI,2005,79.75
DESRI,2006,98.81470588235294
DESRI,2007,91.08333333333333
DESRI,2008,125.08333333333333
DESRI,2009,68.25
DESRI,2010,139.58333333333334
DESRI,2011,98.5
DESRI,2012,80.83333333333333
DESRI,2013,84.91666666666667
DESRI,2014,120.41666666666667
DESRI,2015,146.58333333333334
DESRI,2016,155.83333333333334
DESRI,2017,61.25
DESRI,2018,169.66666666666666
DESRI,2019,121.08333333333333
DESRI,2020,57.333333333333336
DESRI,2021,158.83333333333334
DESRI,2022,122.83333333333333
DESRI,2023,103.66666666666667
DESRI,2024,132.96232541894614
DESST,1922,87.05685177087297
DESST,1923,110.91666666666667
DESST,1924,63.083333333333336
DESST,1925,100.33333333333333
DESST,1926,125.5
DESST,1927,84.83333333333333
DESST,1928,64.16666666666667
DESST,1929,76.0
DESST,1930,121.91666666666667
DESST,1931,160.08333333333334
DESST,1932,106.66666666666667
DESST,1933,86.33333333333333
DESST,1934,83.58333333333333
DESST,1935,139.16666666666666
DESST,1936,81.41666666666667
DESST,1937,85.25
DESST,1938,84.16666666666667
DESST,1939,85.33333333333333
DESST,1940,119.66666666666667
DESST,1941,124.33333333333333
DESST,1942,59.79885912698413
DESST,1943,79.25
DESST,1944,102.33333333333333
DESST,1945,78.2475
DESST,1946,114.66666666666667
DESST,1947,55.666666666666664
DESST,1948,74.25
DESST,1949,81.25
DESST,1950,109.18763468013468
DESST,1951,124.07388316151203
DESST,1952,93.5
DESST,1953,49.62457912457912
DESST,1954,144.67666666666665
DESST,1955,93.08973898816612
DESST,1956,71.93013468013469
DESST,1957,81.42136322201809
DESST,1958,124.0
DESST,1959,101.36512895275781
DESST,1960,87.33333333333333
DESST,1961,107.91666666666667
DESST,1962,70.16666666666667
DESST,1963,117.5
DESST,1964,150.33333333333334
DESST,1965,155.08333333333334
DESST,1966,129.41666666666666
DESST,1967,138.08333333333334
DESST,1968,123.08333333333333
DESST,1969,99.16666666666667
DESST,1970,90.91666666666667
DESST,1971,114.66666666666667
DESST,1972,150.83333333333334
DESST,1973,78.75
DESST,1974,111.83333333333333
DESST,1975,86.08333333333333
DESST,1976,76.58333333333333
DESST,1977,120.5
DESST,1978,181.0
DESST,1979,85.91666666666667
DESST,1980,80.66666666666667
DESST,1981,120.14367634680134
DESST,1982,107.58333333333333
DESST,1983,186.16666666666666
DESST,1984,155.5
DESST,1985,114.58333333333333
DESST,1986,98.16666666666667
DESST,1987,108.0
DESST,1988,109.58333333333333
DESST,1989,74.66666666666667
DESST,1990,165.16666666666666
DESST,1991,101.27976190476191
DESST,1992,136.95063732563733
DESST,1993,144.40721649484536
